Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
259;1.216;3;32,981;;;;;;;;;;;;;;;;;;;;;
260;1.149;5;25,143;;;;;;;;;;;;;;;;;;;;;
261;585;1;21,741;;;;;;;;;;;;;;;;;;;;;
262;1.144;4;28,622;;;;;;;;;;;;;;;;;;;;;
263;1.459;4;28,172;;;;;;;;;;;;;;;;;;;;;
264;2.828;2;55,994;;;;;;;;;;;;;;;;;;;;;
265;1.201;3;33,73;;;;;;;;;;;;;;;;;;;;;
266;2.464;3;49,893;;;;;;;;;;;;;;;;;;;;;
267;1.229;3;28,343;;;;;;;;;;;;;;;;;;;;;
268;3.599;4;48,651;;;;;;;;;;;;;;;;;;;;;
269;1.062;4;31,102;;;;;;;;;;;;;;;;;;;;;
270;1.743;2;46,166;;;;;;;;;;;;;;;;;;;;;
271;1.568;3;42,47;;;;;;;;;;;;;;;;;;;;;
272;1.531;3;33,919;;;;;;;;;;;;;;;;;;;;;
273;1.262;3;37,227;;;;;;;;;;;;;;;;;;;;;
274;2.288;4;44,461;;;;;;;;;;;;;;;;;;;;;
275;1.880;3;36,431;;;;;;;;;;;;;;;;;;;;;
276;3.430;4;58,821;;;;;;;;;;;;;;;;;;;;;
277;3.844;4;57,53;;;;;;;;;;;;;;;;;;;;;
278;2.434;2;53,484;;;;;;;;;;;;;;;;;;;;;
279;2.092;4;45,449;;;;;;;;;;;;;;;;;;;;;
280;2.024;4;43,686;;;;;;;;;;;;;;;;;;;;;
281;3.569;3;64,013;;;;;;;;;;;;;;;;;;;;;
282;1.858;4;37,807;;;;;;;;;;;;;;;;;;;;;
283;849;5;26,928;;;;;;;;;;;;;;;;;;;;;
284;3.194;2;59,186;;;;;;;;;;;;;;;;;;;;;
285;3.025;4;45,484;;;;;;;;;;;;;;;;;;;;;
286;1.601;2;43,279;;;;;;;;;;;;;;;;;;;;;
287;2.501;2;49,155;;;;;;;;;;;;;;;;;;;;;
288;3.394;3;65,042;;;;;;;;;;;;;;;;;;;;;
289;2.228;3;52,433;;;;;;;;;;;;;;;;;;;;;
290;3.566;4;61,34;;;;;;;;;;;;;;;;;;;;;
291;148;4;13,949;;;;;;;;;;;;;;;;;;;;;
292;1.792;4;34,42;;;;;;;;;;;;;;;;;;;;;
293;353;5;20,111;;;;;;;;;;;;;;;;;;;;;
294;1.319;4;37,984;;;;;;;;;;;;;;;;;;;;;
295;1.919;3;34,48;;;;;;;;;;;;;;;;;;;;;
296;3.427;5;59,815;;;;;;;;;;;;;;;;;;;;;
297;117;5;10,458;;;;;;;;;;;;;;;;;;;;;
298;2.280;4;41,072;;;;;;;;;;;;;;;;;;;;;
299;3.063;3;54,587;;;;;;;;;;;;;;;;;;;;;
300;133;16;11,455;;;;;;;;;;;;;;;;;;;;;
301;1.045;4;34,521;;;;;;;;;;;;;;;;;;;;;
302;204;4;12,718;;;;;;;;;;;;;;;;;;;;;
303;2.213;5;36,717;;;;;;;;;;;;;;;;;;;;;
304;3.861;3;59,618;;;;;;;;;;;;;;;;;;;;;
305;462;4;16,806;;;;;;;;;;;;;;;;;;;;;
306;1.912;7;39;;;;;;;;;;;;;;;;;;;;;
307;3.444;2;52,59;;;;;;;;;;;;;;;;;;;;;
308;1.551;3;39,967;;;;;;;;;;;;;;;;;;;;;
309;1.179;3;31,056;;;;;;;;;;;;;;;;;;;;;
310;483;10;22,744;;;;;;;;;;;;;;;;;;;;;
311;2.834;3;43,538;;;;;;;;;;;;;;;;;;;;;
312;974;5;21,451;;;;;;;;;;;;;;;;;;;;;
313;2.615;3;58,611;;;;;;;;;;;;;;;;;;;;;
314;1.406;4;35,615;;;;;;;;;;;;;;;;;;;;;
315;3.424;2;51,294;;;;;;;;;;;;;;;;;;;;;
316;3.348;3;63,656;;;;;;;;;;;;;;;;;;;;;
317;1.654;4;40,569;;;;;;;;;;;;;;;;;;;;;
318;2.628;4;47,738;;;;;;;;;;;;;;;;;;;;;
319;1.399;4;28,129;;;;;;;;;;;;;;;;;;;;;
320;1.369;4;35,839;;;;;;;;;;;;;;;;;;;;;
321;1.208;4;35,373;;;;;;;;;;;;;;;;;;;;;
322;117;7;9,026;;;;;;;;;;;;;;;;;;;;;
323;632;5;18,397;;;;;;;;;;;;;;;;;;;;;
324;4.866;2;67,973;;;;;;;;;;;;;;;;;;;;;
325;1.161;3;33,779;;;;;;;;;;;;;;;;;;;;;
326;1.189;6;32,542;;;;;;;;;;;;;;;;;;;;;
327;1.065;5;22,756;;;;;;;;;;;;;;;;;;;;;
328;3.535;2;54,974;;;;;;;;;;;;;;;;;;;;;
329;294;9;19,029;;;;;;;;;;;;;;;;;;;;;
330;1.245;4;29,3;;;;;;;;;;;;;;;;;;;;;
331;1.662;4;46,43;;;;;;;;;;;;;;;;;;;;;
332;751;6;25,876;;;;;;;;;;;;;;;;;;;;;
333;1.261;4;35,248;;;;;;;;;;;;;;;;;;;;;
334;1.402;5;31,9;;;;;;;;;;;;;;;;;;;;;
335;1.486;4;30,142;;;;;;;;;;;;;;;;;;;;;
336;1.341;4;31,265;;;;;;;;;;;;;;;;;;;;;
337;2.382;3;44,477;;;;;;;;;;;;;;;;;;;;;
338;1.792;4;39,68;;;;;;;;;;;;;;;;;;;;;
339;3.772;3;60,901;;;;;;;;;;;;;;;;;;;;;
340;1.875;5;26,854;;;;;;;;;;;;;;;;;;;;;
341;1.865;5;39,873;;;;;;;;;;;;;;;;;;;;;
342;129;10;9,172;;;;;;;;;;;;;;;;;;;;;
343;1.274;5;27,219;;;;;;;;;;;;;;;;;;;;;
344;1.482;4;43,659;;;;;;;;;;;;;;;;;;;;;
345;1.992;5;39,894;;;;;;;;;;;;;;;;;;;;;
346;4.134;3;58,03;;;;;;;;;;;;;;;;;;;;;
347;1.843;4;31,267;;;;;;;;;;;;;;;;;;;;;
348;1.781;4;37,491;;;;;;;;;;;;;;;;;;;;;
349;1.463;3;38,974;;;;;;;;;;;;;;;;;;;;;
350;687;6;19,809;;;;;;;;;;;;;;;;;;;;;
351;401;4;19,893;;;;;;;;;;;;;;;;;;;;;
352;3.673;4;50,91;;;;;;;;;;;;;;;;;;;;;
353;2.500;4;41,331;;;;;;;;;;;;;;;;;;;;;
354;2.749;3;54,494;;;;;;;;;;;;;;;;;;;;;
355;114;10;11,533;;;;;;;;;;;;;;;;;;;;;
356;1.036;4;30,534;;;;;;;;;;;;;;;;;;;;;
357;2.325;3;37,192;;;;;;;;;;;;;;;;;;;;;
358;111;46;11,745;;;;;;;;;;;;;;;;;;;;;
359;2.667;3;38,657;;;;;;;;;;;;;;;;;;;;;
360;1.159;5;28,638;;;;;;;;;;;;;;;;;;;;;
361;2.367;4;51,385;;;;;;;;;;;;;;;;;;;;;
362;3.709;4;45,764;;;;;;;;;;;;;;;;;;;;;
363;1.606;3;32,712;;;;;;;;;;;;;;;;;;;;;
364;3.721;3;58,494;;;;;;;;;;;;;;;;;;;;;
365;271;5;14,206;;;;;;;;;;;;;;;;;;;;;
366;497;6;21,554;;;;;;;;;;;;;;;;;;;;;
367;5.059;3;78,729;;;;;;;;;;;;;;;;;;;;;
368;1.096;5;33,563;;;;;;;;;;;;;;;;;;;;;
369;2.660;4;48,611;;;;;;;;;;;;;;;;;;;;;
370;120;7;10,136;;;;;;;;;;;;;;;;;;;;;
