fiber_id,area_px,centroid_x,centroid_y,perimeter_px,equiv_diameter_px,circularity,aspect_ratio,bbox_x,bbox_y,bbox_width,bbox_height
224,16327.50,4871.37,3347.15,544.80,144.18,0.69,0.83,4800,3261,141,169
225,16290.50,4343.87,2305.85,1179.67,144.02,0.15,1.05,4241,2228,184,175
226,16284.50,2341.33,3089.52,595.51,143.99,0.58,0.66,2278,2994,127,192
227,16246.00,3817.56,5536.96,541.81,143.82,0.70,0.98,3734,5457,163,167
228,16224.50,3196.19,7233.21,1024.13,143.73,0.19,1.94,3063,7147,293,151
229,16173.50,5314.73,2271.21,614.34,143.50,0.54,1.12,5219,2187,192,171
230,16166.00,4388.21,2798.73,575.47,143.47,0.61,0.86,4308,2706,157,182
231,16151.50,2238.85,4369.60,620.68,143.40,0.53,1.52,2129,4304,221,145
232,16150.00,5132.85,7253.62,1486.50,143.40,0.09,1.42,5006,7175,235,166
233,16033.00,4537.17,2884.35,590.01,142.88,0.58,0.79,4464,2796,146,184
234,16024.00,2848.62,2016.93,608.93,142.84,0.54,0.86,2767,1921,160,185
235,15966.00,2835.01,3250.26,553.33,142.58,0.66,1.13,2745,3168,178,157
236,15951.50,2480.86,5870.50,674.77,142.51,0.44,1.14,2372,5781,217,190
237,15948.50,6296.36,2777.13,602.40,142.50,0.55,0.60,6231,2677,128,213
238,15852.50,5207.56,3614.07,1648.29,142.07,0.07,1.75,5041,3516,326,186
239,15835.00,4311.03,3351.09,571.67,141.99,0.61,1.14,4225,3273,172,151
240,15810.50,4928.60,7332.39,783.45,141.88,0.32,0.46,4871,7228,110,241
241,15770.50,4991.82,3178.70,571.49,141.70,0.61,0.93,4930,3105,150,162
242,15726.00,3715.06,2049.90,607.21,141.50,0.54,1.16,3615,1957,200,172
243,15696.50,6130.57,2573.88,1316.15,141.37,0.11,1.15,6009,2474,230,200
244,15680.50,3755.06,3297.16,567.09,141.30,0.61,0.67,3693,3207,124,186
245,15647.50,5208.94,2866.71,1276.24,141.15,0.12,1.03,5101,2768,208,201
246,15579.00,7105.12,3220.31,528.27,140.84,0.70,0.67,7046,3137,119,178
247,15552.00,6700.02,3423.54,1275.19,140.72,0.12,0.94,6598,3312,219,232
248,15519.00,3541.22,3341.85,538.78,140.57,0.67,0.95,3455,3257,158,167
249,15481.00,6051.26,6436.61,733.01,140.40,0.36,1.03,5956,6353,168,163
250,15478.50,6881.78,5389.93,1419.89,140.38,0.10,1.32,6742,5317,245,186
251,15418.50,6866.24,4130.06,616.06,140.11,0.51,1.34,6768,4053,206,154
252,15410.00,5848.15,4308.42,1375.56,140.07,0.10,1.08,5627,4099,392,362
253,15307.00,2450.82,2972.27,554.30,139.60,0.63,1.33,2354,2907,188,141
254,15295.00,7203.26,3743.56,645.21,139.55,0.46,0.88,7131,3657,171,195
255,15268.50,6528.30,7577.73,1349.55,139.43,0.11,2.13,6368,7518,313,147
256,15223.50,2589.60,6816.47,506.80,139.22,0.74,0.95,2520,6739,146,154
257,15212.50,3561.09,3940.04,573.09,139.17,0.58,0.67,3492,3852,132,196
258,15158.50,3530.15,6874.00,1059.99,138.93,0.17,0.75,3434,6775,169,226
259,15158.50,7504.65,3824.19,655.60,138.93,0.44,1.08,7399,3736,199,184
260,15144.50,4584.26,3789.15,1276.46,138.86,0.12,1.30,4455,3682,267,205
261,15135.50,5863.48,6139.97,503.31,138.82,0.75,1.04,5781,6060,166,160
262,15102.50,4637.27,3065.18,528.26,138.67,0.68,0.99,4559,2985,157,159
263,15102.50,4852.12,7144.12,529.43,138.67,0.68,0.71,4784,7053,129,182
264,15087.00,3069.31,8040.37,1375.73,138.60,0.10,1.17,2932,7929,230,197
265,15058.50,7269.85,3609.37,501.75,138.47,0.75,1.04,7193,3542,144,138
266,15015.50,6033.02,5392.98,853.50,138.27,0.26,2.03,5919,5323,266,131
267,15011.00,7140.16,4438.41,561.33,138.25,0.60,1.18,7059,4365,168,142
268,14964.50,6004.85,7637.03,661.94,138.03,0.43,1.28,5919,7567,196,153
269,14919.50,2308.60,6136.33,525.97,137.83,0.68,0.94,2234,6053,147,157
270,14877.50,3900.01,5273.28,530.17,137.63,0.67,1.02,3837,5202,151,148
271,14848.00,6717.67,2784.34,583.87,137.50,0.55,0.44,6666,2673,94,214
272,14823.00,3909.72,5721.49,1524.18,137.38,0.08,1.08,3793,5624,238,220
273,14820.50,2746.77,3688.90,1128.56,137.37,0.15,0.29,2691,3546,104,362
274,14785.50,3889.81,2647.10,554.74,137.21,0.60,0.87,3819,2565,146,168
275,14747.00,3353.28,6599.33,540.56,137.03,0.63,1.75,3252,6543,192,110
